rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,win_pct,snapshot,champ_prob
102,ACC,32.0,110.1,103.8,0.6627,52.7,50.8,16.4,15.7,22.4,29.7,26.4,28.8,49.9,50.6,37.5,34.1,42.8,38.7,61.7,-5.7,Virginia,,,2025,,pre,0.0
103,Amer,33.0,116.6,110.1,0.6588,50.7,51.6,13.9,15.5,38.8,30.7,31.6,29.2,50.5,50.6,34.1,35.7,29.4,34.2,69.8,-6.1,UAB,,,2025,,pre,0.0
104,BE,32.0,110.6,104.6,0.6569,52.1,49.5,19.0,13.8,33.2,28.7,29.6,32.8,51.1,49.0,35.6,33.5,45.5,37.0,66.9,-8.4,Providence,,,2025,,pre,0.0
105,MVC,31.0,109.6,104.1,0.6433,55.5,51.5,15.9,17.4,25.6,25.2,35.2,28.3,55.3,49.9,37.2,36.0,35.9,40.9,65.7,-6.2,Northern Iowa,,,2025,,pre,0.0
106,B10,30.0,108.9,103.5,0.6423,50.6,53.0,17.5,16.7,27.5,28.5,34.5,36.2,50.1,53.3,34.4,35.1,35.7,35.4,68.4,-4.9,Washington,,,2025,,pre,0.0
107,Sum,31.0,114.3,108.7,0.6403,57.8,52.5,13.7,18.5,21.5,31.2,34.0,35.9,58.1,52.1,38.3,35.4,46.8,41.3,68.6,-5.2,St. Thomas,,,2025,,pre,0.0
108,Sum,29.0,116.3,110.7,0.64,58.2,51.4,15.6,11.1,26.2,29.0,32.6,27.1,56.5,51.3,39.8,34.3,53.6,39.1,65.8,-6.4,North Dakota St.,,,2025,,pre,0.0
109,BE,33.0,109.4,104.1,0.6397,52.7,51.4,17.9,15.5,27.2,28.7,27.4,28.9,53.3,51.3,34.6,34.4,46.4,35.5,67.8,-7.4,DePaul,,,2025,,pre,0.0
110,ACC,31.0,107.9,102.7,0.6386,48.3,51.0,14.4,18.6,28.8,32.5,32.3,32.2,48.3,50.8,32.2,34.3,36.2,32.6,65.9,-9.0,N.C. State,,,2025,,pre,0.0
111,A10,32.0,107.2,102.1,0.6361,52.6,49.0,17.6,17.9,29.9,27.5,31.7,33.2,53.0,48.3,34.7,33.3,42.0,40.4,67.6,-4.8,Loyola Chicago,,,2025,,pre,0.0
