rk,conf,g,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,snapshot,champion,win_pct,champ_prob
301,SB,33.0,97.9,109.7,0.2133,45.7,51.3,16.0,19.1,25.9,35.5,29.8,43.8,45.0,53.8,31.3,31.5,38.1,36.9,66.5,-15.7,Louisiana,,,2025,post,0,,0.0
302,NEC,33.0,98.2,110.0,0.2125,49.1,50.5,17.1,17.6,25.9,32.0,32.1,30.4,49.7,53.3,32.2,30.3,41.5,35.6,69.5,-15.7,Fairleigh Dickinson,,,2025,post,0,,0.0
303,WAC,33.0,101.8,114.1,0.2113,48.8,53.0,18.3,17.4,26.2,33.5,33.7,41.1,47.9,53.7,33.4,34.4,39.8,31.5,67.6,-19.9,Utah Tech,,,2025,post,0,,0.0
304,MEAC,32.0,103.1,115.6,0.211,53.5,52.3,21.2,16.5,29.0,33.8,35.7,40.9,52.6,53.1,36.6,33.8,38.4,33.5,69.9,-15.6,Howard,,,2025,post,0,,0.0
305,Ivy,27.0,103.2,116.0,0.2068,49.4,53.0,16.4,13.4,26.8,29.7,28.9,25.8,49.9,50.8,32.6,37.5,44.4,39.2,67.1,-13.8,Penn,,,2025,post,0,,0.0
306,SB,33.0,96.8,109.0,0.2044,47.9,50.2,19.5,16.1,28.1,30.2,33.8,35.4,49.8,51.2,29.8,32.5,36.9,38.4,71.0,-16.9,Southern Miss,,,2025,post,0,,0.0
307,Horz,32.0,109.5,123.3,0.2038,50.4,57.0,15.7,16.0,30.6,33.6,34.1,35.1,46.2,57.8,36.8,37.3,47.3,40.8,65.1,-17.5,IU Indy,,,2025,post,0,,0.0
308,MAAC,33.0,102.1,115.0,0.2029,47.7,53.1,17.2,16.0,32.2,30.7,29.6,27.3,48.1,52.8,31.2,35.7,30.1,40.9,65.1,-14.6,Rider,,,2025,post,0,,0.0
309,Pat,31.0,100.0,112.8,0.2006,50.1,52.8,17.7,16.9,28.6,27.9,29.3,30.2,50.7,52.9,32.9,35.1,39.6,35.7,66.8,-16.1,Loyola MD,,,2025,post,0,,0.0
310,OVC,31.0,93.7,105.8,0.1985,44.1,51.0,18.7,20.8,30.0,30.9,33.0,39.7,42.6,50.2,31.7,34.7,29.7,44.4,66.4,-14.4,Eastern Illinois,,,2025,post,0,,0.0
311,BSth,32.0,99.2,112.1,0.1966,48.7,53.4,19.9,13.5,31.2,28.2,43.9,33.3,50.7,55.4,30.7,32.4,42.0,29.2,67.8,-16.2,Charleston Southern,,,2025,post,0,,0.0
312,Pat,33.0,100.3,113.4,0.1951,49.5,53.7,14.3,16.0,25.9,29.2,26.1,27.4,51.4,54.8,31.2,34.8,41.7,42.0,67.9,-12.0,Army,,,2025,post,0,,0.0
