rk,conf,g,rec,adjoe,adjde,barthag,efg_,efgd_,tor,tord,orb,drb,ftr,ftrd,2p_,2p_d,3p_,3p_d,3pr,3prd,adj_t_,wab,team,seed,tourney_res,year,type,venue
188,SC,9,2–7 2–7,105.4 137,108.2 254,.4245 188,51.7 110,55.6 307,19.4 219,17.7 168,28.2 163,30.7 253,38.8 36,36.8 234,50.8 114,56.4 320,35.5 132,36.4 219,37.0 206,46.4 330,69.4 122,-3.9 252,Mercer,,,2019,C,A-N
189,SB,9,3–6 3–6,103.6 168,106.5 217,.4227 189,52.8 69,55.3 296,18.5 172,19.3 95,23.8 287,28.6 190,33.7 105,39.8 274,54.5 35,54.6 297,33.3 204,37.5 255,37.3 198,43.4 297,67.7 198,-3.4 229,South Alabama,,,2019,C,A-N
190,BSth,8,3–5 3–5,110.7 57,113.8 329,.4207 190,52.4 85,56.4 320,13.6 5,15.0 308,26.3 226,25.5 94,31.2 152,37.7 247,52.0 73,52.7 242,35.3 140,41.0 327,40.8 114,41.9 257,72.2 32,-3.2 225,Hampton,,,2019,C,A-N
191,BW,8,3–5 3–5,98.6 258,101.5 120,.4197 191,51.0 141,51.3 155,20.2 253,21.8 26,21.8 310,31.4 284,33.6 107,43.0 312,48.2 220,52.8 246,37.4 69,32.5 85,36.1 232,36.4 112,67.0 231,-3.3 228,UC Davis,,,2019,C,A-N
192,WCC,8,2–6 2–6,98.2 267,101.6 123,.4043 192,45.3 317,54.5 275,19.7 230,20.1 66,24.7 262,24.0 50,36.1 67,44.5 320,40.4 347,52.6 236,36.9 77,37.9 269,32.3 309,44.2 308,63.8 332,-2.4 171,Pacific,,,2019,C,A-N
193,NEC,9,6–3 6–3,105.2 138,108.9 271,.4025 193,50.2 170,50.7 133,17.0 80,19.1 105,33.1 51,29.1 213,41.5 17,35.2 201,45.7 294,52.2 222,38.7 34,32.1 73,35.9 238,38.1 161,69.9 99,-2.0 154,Saint Francis,,,2019,C,A-N
194,SB,9,2–7 2–7,104.2 156,107.9 246,.4021 194,51.2 130,55.5 305,17.3 96,18.2 145,24.0 280,27.4 153,36.6 62,33.8 168,48.7 188,52.7 242,36.4 94,40.5 323,43.2 71,35.1 78,72.5 29,-4.6 292,Appalachian St.,,,2019,C,A-N
195,BW,8,5–3 5–3,105.2 139,109.1 273,.3970 195,49.8 187,53.3 241,16.5 59,16.7 224,32.5 58,24.0 50,35.8 71,35.1 199,48.5 200,52.8 246,34.8 152,36.3 217,34.5 273,33.5 41,67.7 198,-1.4 126,UC Santa Barbara,,,2019,C,A-N
196,Ivy,7,0–7 0–7,100.8 227,104.6 181,.3967 196,47.0 280,57.0 328,17.1 84,18.6 125,24.2 273,20.7 9,17.9 349,27.4 49,50.7 118,59.8 346,26.7 345,33.9 119,34.9 261,31.2 13,65.3 309,-4.6 291,Dartmouth,,,2019,C,A-N
197,ASun,8,4–4 4–4,101.0 222,104.8 186,.3965 197,51.4 121,48.9 73,21.2 288,17.5 184,28.9 139,31.9 298,25.4 287,31.9 133,51.3 101,47.9 79,34.4 166,34.2 136,44.1 49,29.3 4,71.9 40,-2.1 160,North Florida,,,2019,C,A-N
